Top_High_Grantham	Top_Low_Grantham	p_val	Virus	Significance	log_p_val	organism	Category
10	57	0.983344070488521	10254		0.0072944966447627	Vaccinia virus (strain Western Reserve)	Non-human_viruses_that_infect_humans
4	85	0.984312881652082	10299		0.00686683126754012	Human herpesvirus 1 (strain 17)	Human_viruses
2	14	0.983344070488521	10360		0.0072944966447627	Human cytomegalovirus (strain AD169)	Human_viruses
5	26	0.983344070488521	10376		0.0072944966447627	Epstein-Barr virus (strain GD1)	Human_viruses
7	70	0.983344070488521	10377		0.0072944966447627	Epstein-Barr virus (strain B95-8)	Human_viruses
0	10	0.983344070488521	10407		0.0072944966447627	Hepatitis B virus	Human_viruses
0	1	0.983344070488521	10515		0.0072944966447627	Human adenovirus C serotype 2	Human_viruses
10	129	0.983344070488521	10579		0.0072944966447627	Human papillomavirus type 8	Human_viruses
1	33	0.983344070488521	10580		0.0072944966447627	Human papillomavirus 11	Human_viruses
5	83	0.983344070488521	10583		0.0072944966447627	Human papillomavirus type 1	Human_viruses
5	83	0.983344070488521	10586		0.0072944966447627	Human papillomavirus 33	Human_viruses
5	74	0.983344070488521	10588		0.0072944966447627	Human papillomavirus 39	Human_viruses
1	25	0.983344070488521	10600		0.0072944966447627	Human papillomavirus type 6b	Human_viruses
2	50	0.983344070488521	10614		0.0072944966447627	Human papillomavirus 3	Human_viruses
9	100	0.983344070488521	10621		0.0072944966447627	Human papillomavirus 9	Human_viruses
1	10	0.983344070488521	11259		0.0072944966447627	Human respiratory syncytial virus A (strain A2)	Human_viruses
0	3	0.983344070488521	11676		0.0072944966447627	Human immunodeficiency virus 1	Human_viruses
0	6	0.983344070488521	11679		0.0072944966447627	Human immunodeficiency virus type 1 group M subtype B (isolate PCV12)	Human_viruses
20	205	0.983344070488521	11706		0.0072944966447627	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)	Human_viruses
1	7	0.983344070488521	11714		0.0072944966447627	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Human_viruses
1	10	0.983344070488521	11909		0.0072944966447627	Human T-cell leukemia virus 2	Human_viruses
0	15	0.983344070488521	11927		0.0072944966447627	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Human_viruses
